INDEX,EXPRESSION,DATETIME,CLOSE
34,D6U21-D6Z21,2021-06-01T06:08:00,-0.00155
35,D6U21-D6Z21,2021-06-01T06:21:00,-0.0013
36,D6U21-D6Z21,2021-06-01T06:22:00,-0.0013
37,D6U21-D6Z21,2021-06-01T06:27:00,-0.00125
38,D6U21-D6Z21,2021-06-01T06:31:00,-0.00105
39,D6U21-D6Z21,2021-06-01T06:38:00,-0.0012
40,D6U21-D6Z21,2021-06-01T06:39:00,-0.00125
41,D6U21-D6Z21,2021-06-01T06:42:00,-0.00125
42,D6U21-D6Z21,2021-06-01T06:43:00,-0.00115
43,D6U21-D6Z21,2021-06-01T07:04:00,-0.0008
44,D6U21-D6Z21,2021-06-01T07:18:00,-0.0009
45,D6U21-D6Z21,2021-06-01T07:21:00,-0.00075
46,D6U21-D6Z21,2021-06-01T07:43:00,-0.00125
47,D6U21-D6Z21,2021-06-01T08:08:00,-0.0012
48,D6U21-D6Z21,2021-06-01T08:10:00,-0.0012
49,D6U21-D6Z21,2021-06-01T08:20:00,-0.001
50,D6U21-D6Z21,2021-06-01T08:31:00,-0.00065
51,D6U21-D6Z21,2021-06-01T08:33:00,-0.0001
52,D6U21-D6Z21,2021-06-01T08:34:00,-0.0001
53,D6U21-D6Z21,2021-06-01T08:35:00,-0.00035
54,D6U21-D6Z21,2021-06-01T08:42:00,-0.00025
55,D6U21-D6Z21,2021-06-01T08:43:00,-0.00025
56,D6U21-D6Z21,2021-06-01T08:46:00,-0.00015
57,D6U21-D6Z21,2021-06-01T08:47:00,0.00005
58,D6U21-D6Z21,2021-06-01T08:48:00,-0.00005
59,D6U21-D6Z21,2021-06-01T08:49:00,-0.0001
60,D6U21-D6Z21,2021-06-01T08:50:00,0.0005
61,D6U21-D6Z21,2021-06-01T09:00:00,0.0005
62,D6U21-D6Z21,2021-06-01T09:01:00,0.0001
63,D6U21-D6Z21,2021-06-01T09:08:00,-0.00005
64,D6U21-D6Z21,2021-06-01T09:12:00,0.0004
65,D6U21-D6Z21,2021-06-01T09:15:00,0.0003
66,D6U21-D6Z21,2021-06-01T09:26:00,0.0001
67,D6U21-D6Z21,2021-06-01T09:30:00,0
68,D6U21-D6Z21,2021-06-01T09:33:00,0.0003
69,D6U21-D6Z21,2021-06-01T09:41:00,-0.0005
70,D6U21-D6Z21,2021-06-01T09:47:00,0.00035
71,D6U21-D6Z21,2021-06-01T09:52:00,0.0013
72,D6U21-D6Z21,2021-06-01T09:58:00,0.0023
73,D6U21-D6Z21,2021-06-01T09:59:00,0.0023
74,D6U21-D6Z21,2021-06-01T10:00:00,0.0023
75,D6U21-D6Z21,2021-06-01T10:01:00,0.0023
76,D6U21-D6Z21,2021-06-01T10:02:00,0.0024
77,D6U21-D6Z21,2021-06-01T10:04:00,0.00225
78,D6U21-D6Z21,2021-06-01T10:08:00,0.00245
79,D6U21-D6Z21,2021-06-01T10:12:00,0.00305
80,D6U21-D6Z21,2021-06-01T10:19:00,0.00235
81,D6U21-D6Z21,2021-06-01T10:21:00,0.00235
82,D6U21-D6Z21,2021-06-01T10:46:00,0.00185
83,D6U21-D6Z21,2021-06-01T10:48:00,0.0018
84,D6U21-D6Z21,2021-06-01T11:08:00,0.00105
85,D6U21-D6Z21,2021-06-01T11:11:00,0.00055
86,D6U21-D6Z21,2021-06-01T11:13:00,0.0006
87,D6U21-D6Z21,2021-06-01T11:14:00,0.0006
88,D6U21-D6Z21,2021-06-01T11:15:00,0.0007
89,D6U21-D6Z21,2021-06-01T11:16:00,0.0007
90,D6U21-D6Z21,2021-06-01T11:30:00,0.0009
91,D6U21-D6Z21,2021-06-01T11:32:00,0.0008
92,D6U21-D6Z21,2021-06-01T11:35:00,0.00055
93,D6U21-D6Z21,2021-06-01T11:36:00,0.00055
94,D6U21-D6Z21,2021-06-01T11:38:00,0.0004
